"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","2024-01-01","2024","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-02","2024","01","02","†","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-03","2024","01","03","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-04","2024","01","04","†","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","2.0","","2.0","","12","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-05","2024","01","05","†","4.0","","-4.0","","0.0","","18.0","","0.0","","0.0","","14.0","","14.0","","15","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-06","2024","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-07","2024","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-08","2024","01","08","†","0.0","","-11.0","","-5.5","","23.5","","0.0","","0.0","","16.0","","16.0","","34","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-09","2024","01","09","†","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","5.0","","5.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-10","2024","01","10","†","-2.0","","-13.0","","-7.5","","25.5","","0.0","","0.0","","4.0","","4.0","","42","","","","",""
"-115.07","49.49","FERNIE","1152850","2024-01-11","2024","01","11","†","-20.0","","-23.0","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
