"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.00","53.33","NIPAWIN","407N51G","2023-01-01","2023","01","01","","-8.2","","-20.4","","-14.3","","32.3","","0.0","","","","","","0.0","","23","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-02","2023","01","02","","-9.9","","-17.8","","-13.9","","31.9","","0.0","","","","","","0.0","","24","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-03","2023","01","03","","-9.6","","-17.0","","-13.3","","31.3","","0.0","","","","","","0.0","","24","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-04","2023","01","04","","-10.0","","-18.2","","-14.1","","32.1","","0.0","","","","","","0.0","","23","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-05","2023","01","05","","-12.4","","-23.7","","-18.1","","36.1","","0.0","","","","","","0.0","","24","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-06","2023","01","06","","-14.7","","-19.4","","-17.0","","35.0","","0.0","","","","","","0.0","","25","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-07","2023","01","07","","-9.9","","-19.3","","-14.6","","32.6","","0.0","","","","","","0.0","","24","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-08","2023","01","08","","-10.0","","-18.7","","-14.4","","32.4","","0.0","","","","","","0.0","","24","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-09","2023","01","09","","-8.1","","-13.8","","-11.0","","29.0","","0.0","","","","","","0.0","","25","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-10","2023","01","10","","-8.1","","-9.8","","-8.9","","26.9","","0.0","","","","","","0.0","","25","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-11","2023","01","11","","-9.1","","-20.5","","-14.8","","32.8","","0.0","","","","","","0.0","","25","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-12","2023","01","12","","-10.4","","-19.3","","-14.8","","32.8","","0.0","","","","","","0.2","","25","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-13","2023","01","13","","-11.1","","-18.7","","-14.9","","32.9","","0.0","","","","","","0.0","","24","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-14","2023","01","14","","-8.3","","-11.9","","-10.1","","28.1","","0.0","","","","","","0.0","","25","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-15","2023","01","15","","-10.7","","-15.8","","-13.3","","31.3","","0.0","","","","","","0.0","","26","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-16","2023","01","16","","-8.3","","-10.8","","-9.5","","27.5","","0.0","","","","","","0.0","","26","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-17","2023","01","17","","-8.6","","-10.4","","-9.5","","27.5","","0.0","","","","","","0.0","","26","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-18","2023","01","18","","-8.6","","-15.1","","-11.9","","29.9","","0.0","","","","","","0.0","","26","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-19","2023","01","19","","-4.3","","-8.8","","-6.6","","24.6","","0.0","","","","","","0.0","","27","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-20","2023","01","20","","-4.0","","-14.7","","-9.4","","27.4","","0.0","","","","","","0.0","","27","","24","","34",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-21","2023","01","21","","-6.8","","-16.6","","-11.7","","29.7","","0.0","","","","","","0.0","","25","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-22","2023","01","22","","1.8","","-15.1","","-6.7","","24.7","","0.0","","","","","","5.7","","27","","32","","49",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-23","2023","01","23","","-4.5","","-13.1","","-8.8","","26.8","","0.0","","","","","","0.7","","27","","32","","43",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-24","2023","01","24","","-10.9","","-19.5","","-15.2","","33.2","","0.0","","","","","","0.2","","27","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-25","2023","01","25","","-6.1","","-10.9","","-8.5","","26.5","","0.0","","","","","","1.1","","28","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-26","2023","01","26","","-2.4","","-11.2","","-6.8","","24.8","","0.0","","","","","","2.7","","30","","36","","48",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-27","2023","01","27","","-8.7","","-25.9","","-17.3","","35.3","","0.0","","","","","","0.2","","31","","36","","42",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-28","2023","01","28","","-18.3","","-25.5","","-21.9","","39.9","","0.0","","","","","","0.0","","31","","29","","33",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-29","2023","01","29","","-21.6","","-28.9","","-25.2","","43.2","","0.0","","","","","","0.0","","31","","29","","39",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-30","2023","01","30","","-18.3","","-27.5","","-22.9","","40.9","","0.0","","","","","","0.0","","31","","24","","32",""
"-104.00","53.33","NIPAWIN","407N51G","2023-01-31","2023","01","31","","-20.9","","-32.6","","-26.8","","44.8","","0.0","","","","","","0.0","","31","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-01","2023","02","01","","-18.1","","-33.1","","-25.6","","43.6","","0.0","","","","","","0.0","","31","","32","","41",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-02","2023","02","02","","-24.0","","-33.2","","-28.6","","46.6","","0.0","","","","","","0.0","","32","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-03","2023","02","03","","-9.7","","-24.0","","-16.8","","34.8","","0.0","","","","","","0.0","","31","","21","","47",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-04","2023","02","04","","-9.1","","-11.6","","-10.4","","28.4","","0.0","","","","","","0.0","","30","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-05","2023","02","05","","-0.3","","-9.1","","-4.7","","22.7","","0.0","","","","","","0.0","","30","","20","","35",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-06","2023","02","06","","1.4","","-13.9","","-6.2","","24.2","","0.0","","","","","","0.0","","29","","31","","52",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-07","2023","02","07","","6.8","","-14.0","","-3.6","","21.6","","0.0","","","","","","0.0","","31","","29","","43",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-08","2023","02","08","","0.1","","-15.2","","-7.6","","25.6","","0.0","","","","","","0.0","","30","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-09","2023","02","09","","-6.2","","-23.5","","-14.8","","32.8","","0.0","","","","","","0.0","","30","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-10","2023","02","10","","-0.7","","-18.0","","-9.3","","27.3","","0.0","","","","","","0.0","","30","","30","","31",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-11","2023","02","11","","0.0","","-9.3","","-4.6","","22.6","","0.0","","","","","","0.4","","30","","24","","35",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-12","2023","02","12","","2.7","","-12.7","","-5.0","","23.0","","0.0","","","","","","0.0","","30","","26","","36",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-13","2023","02","13","","2.9","","-9.6","","-3.4","","21.4","","0.0","","","","","","0.0","","30","","29","","32",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-14","2023","02","14","","-0.6","","-22.5","","-11.6","","29.6","","0.0","","","","","","0.0","","30","","34","","54",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-15","2023","02","15","","-14.9","","-24.7","","-19.8","","37.8","","0.0","","","","","","0.0","","30","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-16","2023","02","16","","-6.7","","-32.5","","-19.6","","37.6","","0.0","","","","","","0.2","","30","","21","","37",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-17","2023","02","17","","-5.3","","-13.5","","-9.4","","27.4","","0.0","","","","","","0.0","","30","","33","","37",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-18","2023","02","18","","-11.1","","-25.2","","-18.1","","36.1","","0.0","","","","","","1.0","","30","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-19","2023","02","19","","-18.1","","-31.7","","-24.9","","42.9","","0.0","","","","","","1.0","","29","","","","",""
"-104.00","53.33","NIPAWIN","407N51G","2023-02-20","2023","02","20","","-15.7","","-25.2","","-20.5","","38.5","","0.0","","","","","","0.4","","33","","","","",""
